Co. Corp TKR,Total,Banks,Financial Services,Diversified Banks,Consumer Finance,Utilities,Real Estate,Supranationals,Industrial Other,Commercial Finance,Government Development Banks,Consumer Services,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Food & Beverage,Life Insurance,Metals & Mining,Machinery Manufacturing,Wireless Telecommunications Services,Electrical Equipment Manufacturing,Exploration & Production,Property & Casualty Insurance,Software & Services,Health Care Facilities & Services,Retail - Consumer Discretionary,Travel & Lodging,Pipeline,Pharmaceuticals,Wireline Telecommunications Services,Integrated Oils,Construction Materials Manufacturing,Hardware,Airlines,Coal Operations,Homebuilders,Oil & Gas Services & Equipment,Supermarkets & Pharmacies,Railroad,Auto Parts Manufacturing,Others,<blank>
BJCAIG,238904500,,238904500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJBRIJ,396114934,396114934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJBIOC,57298320,,,,,,57298320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJAUTO,3038658300,,,,,,,,,,,,,,3038658300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJAUIN,605300100,,605300100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJASST,12137339400,,7964075500,,,1212463100,,,1448761800,,,,,1512039000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJASME,29604132,,29604132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJAGIV,95497200,,95497200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJAFHO,954972000,,954972000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJABMK,51085600,,,,,,,,51085600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIZHOL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
BITEF,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
BITECH,2778936,,,,,,,,2778936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITAUZ,150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000000,
BISTPP,1008000000,1008000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISHOP,268196907,,268196907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
BISCYN,5000000,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCRE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISABO,15846621,,,,,,,,,15846621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIS,28787,,,,,,,28787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRMIN,145677000,,,,,,,,,,,,145677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRK,9590550,9590550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIP,1732048100,,416831000,,,1315217100,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOTAU,18404850,,,,,,,,,,,,,18404850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOSCO,38986500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38986500,
BIOS,500000000,,,,,,,,,,,,,,,,,,,,,,,,,500000000,,,,,,,,,,,,,,,,,
BIOMED,28808303,,,,,,,,,,,,,,,,,,,,,,,,,,28808303,,,,,,,,,,,,,,,,
BIOLDV,13894680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13894680,,,,,,,,,
BIOINN,2226987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226987,
BIOFRO,12267446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12267446,,,,,,,,,,,,,
BIOCIT,200000000,,,,,,,,,,,,,,,,,,,,,,,,,200000000,,,,,,,,,,,,,,,,,
BIOCDC,2315780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315780,,,,,,,,,,,,,
BIO,425000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425000000,
BINVEX,1917065849,1917065849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINVAR,172764506,172764506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINTS,609,,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINTPE,1368715708,1368715708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINHNW,101863680,,,,,,,,101863680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINHIN,500000000,,,,,500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINHCO,7648003500,,,,,,,,7648003500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINGMK,1776504294,,,,,,,,,,,,,,,,,,,,770598179,,,,,,,,,,1005906115,,,,,,,,,,,,
BINGE,1367,,,,,,,,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINGBZ,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINEXC,18526240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18526240,,,,,,,,,,,,,
BINDPR,41945080,,41945080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINCHN,4437914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437914,
BINBUR,4009102262,4009102262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINAMK,12771400,,,,,,,,12771400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BINA,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMUIJ,7459931,,,,7459931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMSAS,349692150,,349692150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMP,1739130,1739130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMIM,109726035,,109726035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMGES,13619589,,,,,13619589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMFP,368097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368097000,
BIMEKS,33105415,,,,,,,,,,,,,,,,,,,,,,,,,,33105415,,,,,,,,,,,,,,,,
BIMCN,350000000,,,,,,,,,,,,,,,,,,350000000,,,,,,,,,,,,,,,,,,,,,,,,
BIMBOA,4513138600,,,,,,,,,,,,,,,,4513138600,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMBMK,679438480,679438480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMA,4435787,,4435787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILTPA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
BILTIN,223391900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223391900,
BILOLF,922266000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922266000,,,,
BILLVA,3270000,,3270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BILLN,124261000,,,,,,,,,,,,,,,,,,,,,,,,,,124261000,,,,,,,,,,,,,,,,
BILL,439755100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439755100,
BILBIZ,1901834500,1901834500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIKANG,127588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127588000,,,,,,,,,,,,,
BIIB,6000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000000,
BIHAII,287073000,,,,,,,,287073000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGTEX,670000000,,,,,,,,,,,,670000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGS,500000000,,500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGPRA,56881422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56881422,
BIGO,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGIT,788845134,,,,,,788845134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGGRP,850402,,,,,,,,,,,850402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIGBRS,600000000,,,,,,,,,,,,,,,,,,600000000,,,,,,,,,,,,,,,,,,,,,,,,
BIGBRO,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIFCPE,104934460,104934460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIFCO,8077441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8077441,
BIEMT,185262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185262,
BIEIM,2576679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576679,,,,,,,,,,,,,
BIDU,5500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500000000,
BIDEVN,134301855,134301855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDDLE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BID,400000000,,,,,,,,,,,400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICORP,1389468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389468,
BICESE,6194,6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICECO,57647807,57647807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICECL,487447731,487447731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICCAM,37582292,,,,,,,,,,,,,,,,,,,,,,,,,,37582292,,,,,,,,,,,,,,,,
BICBBZ,300000000,300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
BIBLEC,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBIDI,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBBLN,244247500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244247500,,,,,
BIALPT,61349500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61349500,,,,,,,,,,,,,
BIAFSA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
BHYTDI,47748600,,47748600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHYDUC,318711600,,,,,,,,318711600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHVYAR,15282708,,15282708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHUSIN,259260225,,,,,,,,,,,,,,,,,,259260225,,,,,,,,,,,,,,,,,,,,,,,,
BHSPAN,86502795,,86502795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHSKAR,60818940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60818940,
BHSEC,876037000,,876037000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHSASU,51656279,,51656279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHRURA,2945143000,2945143000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHRAIN,2600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000000,
BHP,23503179014,,,,,,,,,,,,,,,,,,23503179014,,,,0,,,,,,,,,,,,,,,,,,,,
BHLB,75000000,75000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHLAMP,6134950,,6134950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHKREN,54113940,54113940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHITIJ,365000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365000000,
BHIP,1180672618,1180672618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHIARM,27935000,,27935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHI,2011394000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011394000,,,,,
BHHTZA,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHHPIN,15242162,,,,,,,,,,,,,15242162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHHNIV,187811160,,187811160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHHLDG,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHH,18210344784,,,,18210344784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHGHBZ,92309947,,,,,,,,,,,,,,,,,,,,,,,,,,,92309947,,,,,,,,,,,,,,,
BHF,3050000000,,50000000,,,,,,,,,,,,,,,3000000000,,,,,,,,,,,,,,,,,,,,,,,,,
BHER,60368015,,60368015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHDEIN,87539100,,87539100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHCOLT,46315600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46315600,,,,,,,,,
BHCIIN,113060850,,113060850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHBMK,51085600,,,,,,,,51085600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHB,25000000,25000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAVYA,10791463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10791463,,,,,,,,,,
BHAVNA,14675000,,14675000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTI,6017837000,,,,,,,,,,,,,,,,,,,,6017837000,,,,,,,,,,,,,,,,,,,,,,
BHAOM,3144206475,,3144206475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHAIST,355810000,,,,,,,,,,,,,,,,,,355810000,,,,,,,,,,,,,,,,,,,,,,,,
BHAFIN,31189200,,,,31189200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHABAN,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGZSA,11777680,11777680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGY,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGTACO,6484184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6484184,
BGS,1600000000,,,,,,,,,,,,,,,,1600000000,,,,,,,,,,,,,,,,,,,,,,,,,,
BGRKNG,766868750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766868750,
BGRIMM,174500700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174500700,
BGPT,650000000,,,,,,,,,,,650000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGPIQ,5798130,,5798130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGMK,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGLBNP,676426470,676426470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGHINC,30000000,30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGGRP,9543308200,,,,,,,,,,,,,,,,,,,,,,9543308200,,,,,,,,,,,,,,,,,,,,
BGG,223149000,,,,,,,,,,,,,,,,,,,223149000,,,,,,,,,,,,,,,,,,,,,,,
BGEOLN,350000000,350000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGEIN,23428734,,,,,,,,,,,,,,,,,,,,,23428734,,,,,,,,,,,,,,,,,,,,,
BGDPL,1472210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472210,,,,,,,,,,,,,
BGCP,600000000,,600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGC,1029463000,,,,,,,,,,,,,,,,,,,,,1029463000,,,,,,,,,,,,,,,,,,,,,
BGBSP,40417980,,,,,40417980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGBKKK,1666744000,1666744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGATR,153485287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153485287,,,,,
BGASJ,988659431,988659431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGANZH,1746640220,1746640220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,3781592000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3781592000,
BFTPW,35333040,,,,,,,,,,,35333040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFSBMK,323116420,,323116420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFRON,3864,,,,,3864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFRIUL,4105220197,4105220197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFRICK,6134950,6134950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFPE,48674863,48674863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFONDE,2042900,2042900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFODBZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
BFLHA,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
BFLFDG,12483050,,12483050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFLEBO,4153407,,,,,,,,,4153407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFINIJ,285693188,,,,285693188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFIEBO,62373458,62373458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFICBH,34284200,,34284200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFFCC,67076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67076,,,
BFEIM,36809700,,36809700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCP,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCM,53576489877,53576489877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFCF,107500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107500000,
BFB,1786807000,,,,,,,,,,,,,,,,1786807000,,,,,,,,,,,,,,,,,,,,,,,,,,
BFASM,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFALA,1761507535,173102342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588405193,
BEZQIT,1777315110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777315110,,,,,,,,,,,,
BEZLN,372055000,,18000000,,,,,,,,,,,,,,,,,,,,,354055000,,,,,,,,,,,,,,,,,,,
BEZINC,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
BEYDSO,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
BEYCN,1557926,,,,,,,,,,,,,,,,,,,,,,1557926,,,,,,,,,,,,,,,,,,,,
BEXP,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
BEXINT,8000000,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEXIIN,334240200,,334240200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEWIGR,69175700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69175700,,,,,,,,,,
BEWGMK,102171200,,,,,,,,102171200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVSOU,6900000,,6900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVMO,190000000,,,,,,,,,,,,,,,,190000000,,,,,,,,,,,,,,,,,,,,,,,,,,
BEVIPA,12000000,,,,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEV,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
BEURO,3342,,,,,,,,,3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETSBS,124261000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124261000,
BETROL,87636000,,,,,,,,,,,,,,,,,,,87636000,,,,,,,,,,,,,,,,,,,,,,,
BETIMM,5950902,,,,,,5950902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHWS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
BETHPG,58000033,,58000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHHE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETHEL,19361000,,,,,,,,,,,19361000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETFOU,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETAGO,361692360,,,,,,,,,,,,,,,,361692360,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTT,1123134,,,,,,,,1123134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTPW,175841263,,175841263,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESTON,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
BESTES,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESSB,21555,,,,,21555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESPL,3164219144,3164219144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESPER,56983870,56983870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESINA,368097000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368097000,
BESACL,1337,,,,,,,,1337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESABS,50947160,,50947160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERY,1600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000000,
BERVBK,65030470,65030470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERTMT,77979880,,,,,,,,,,,,,,,,,,77979880,,,,,,,,,,,,,,,,,,,,,,,,
BERTEL,4787760580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4787760580,
BERREA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEROAR,10159560,,,,,,,,,,,10159560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERLUX,11042910,,,,,,11042910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERKS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
BERKET,119099400,,119099400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERHLD,108692900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108692900,,,,,
BERHIL,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERGVK,444107994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444107994,
BERGBK,29250210,29250210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEREA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BERBOM,56943666,,,,,,,,,,,,56943666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEPSPY,536106,,,,536106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEPAKO,147238800,,,,,,147238800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENUCP,349692150,,349692150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTEL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
BENROS,4580000,,,,,,,,,,,4580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENREL,2220000,,,,,,2220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENOHG,12269900,,,,,,12269900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENGAN,318324000,,,,,,,,,,,,,,,,,,318324000,,,,,,,,,,,,,,,,,,,,,,,,
BENFAM,844343000,,,,,,844343000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENEIN,55625190,,,,,,55625190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENBIN,366331000,,366331000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENAU,2768084618,2768084618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,1050000000,,1050000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEMTB,894712680,,,,,,,,,,,,,,,,,,,,,,,,,,,894712680,,,,,,,,,,,,,,,
BEMLIN,46783800,,,,,,,,,,,,,,,,,,,46783800,,,,,,,,,,,,,,,,,,,,,,,
BEMFIN,22777473,,22777473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEMABZ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
