industry_classification,source,sector,sector_ipr,subsector_ipr,sector_dnb,sector_boe,subsector_boe
Other Health Care,BCLASS,Other,Healthcare,Healthcare Services,Other,Other,NA
Other Housing,BCLASS,Other,Finance,Real Estate,Other,Real estate,NA
Other Industrial,BCLASS,Other,NA,NA,Other,Other,NA
Other Mortgage Secur,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Other Mortgage Security,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Other Post-Employment Benefits,BCLASS,Other,NA,NA,Other,Other,NA
Other Recreation,BCLASS,Other,NA,NA,Other,Other,NA
Other REITs,BCLASS,Other,Finance,Real Estate,Other,Real estate,NA
Other Transportation,BCLASS,Other,NA,NA,Other,Other,NA
Other Utilities,BCLASS,Other,Utilities,Utilities,Other,Other,NA
Other Utility,BCLASS,Other,Utilities,Utilities,Other,Other,NA
Other Wholesalers,BICS,Other,NA,NA,Other,Other,NA
P&C,BCLASS,Other,NA,NA,Other,Other,NA
Packaging,BCLASS,Other,Industrials,Industrial Services,Other,Other,NA
Paper,ICB,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Paper&Related Products,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Parking Facilities,BCLASS,Other,NA,NA,Other,Other,NA
"Parks, Zoos, and Beaches",BCLASS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Pastoral&Agricultural,BICS,Other,NA,NA,Other,Other,NA
Patient Monitoring Equip,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Pension Obligations,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Personal Products,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Petrochemicals,BICS,Oil&Gas,Energy,Integrated Oil and Gas Exploration and Production,C19,Oil&Gas,NA
Pfandbriefe,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Pfandbriefe Jumbo Hypotheken,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Pfandbriefe Jumbo Oeffenliche,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Pfandbriefe Traditional Hypotheken,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Pfandbriefe Traditional Oeffenliche,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Pharmaceuticals,ICB,Other,Healthcare,Biopharmaceuticals,Other,Other,NA
Pharmaceuticals,BICS,Other,Healthcare,Biopharmaceuticals,Other,Other,NA
Pharmacy Services,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Photo Equipment&Supplies,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Phys Practice Mgmnt,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Phys Therapy/Rehab Cntrs,BICS,Other,Healthcare,Healthcare Services,Q86,Other,NA
Pipeline,BICS,Other,NA,NA,Other,Other,NA
Pipelines,ICB,Other,NA,NA,Other,Other,NA
Pipelines,BICS,Other,NA,NA,Other,Other,NA
Platinum,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Platinum & Precious Metals,ICB,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Police Station Equipment,BCLASS,Other,NA,NA,Other,Other,NA
Pollution Control,BICS,Other,NA,NA,E39,Other,NA
Poultry,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Power Conv/Supply Equip,BICS,Other,NA,NA,Other,Other,NA
Power Generation,BICS,Power,Utilities,Utilities,Other,Power,NA
Precious Metals,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
Primary and Secondary Education,BCLASS,Other,NA,NA,Other,Other,NA
Printing-Commercial,BICS,Other,NA,NA,M74,Other,NA
Private Equity,BICS,Other,Finance,Specialty Finance and Services,K64,Other,NA
Private Human Service Providers,BCLASS,Other,NA,NA,Other,Other,NA
Professional Sports,BICS,Other,NA,NA,R93,Other,NA
Property & Casualty Insurance,ICB,Other,Finance,Insurance,Other,Other,NA
Property & Casualty Insurance,BICS,Other,Finance,Insurance,Other,Other,NA
Property Trust,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
Property/Casualty Ins,BICS,Other,Finance,Insurance,K65,Other,NA
Protection-Safety,BICS,Other,NA,NA,M74,Other,NA
PS Loan Non-Pfandbriefe,BCLASS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Public Human Service Providers,BCLASS,Other,NA,NA,Other,Other,NA
Public Thoroughfares,BICS,Other,NA,NA,Other,Other,NA
Publishing,ICB,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Publishing & Broadcasting,BICS,Other,Consumer Services,Media and Publishing Services,Other,Other,NA
Publishing-Books,BICS,Other,Consumer Services,Media and Publishing Services,J58,Other,NA
Publishing-Newspapers,BICS,Other,Consumer Services,Media and Publishing Services,J58,Other,NA
Publishing-Periodicals,BICS,Other,Consumer Services,Media and Publishing Services,J58,Other,NA
Quarrying,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Other,NA
Racetracks,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Radio,BICS,Other,Consumer Services,Media and Publishing Services,J60,Other,NA
Railroad,BICS,Other,NA,NA,Other,Other,NA
Railroad Rolling Stock,BICS,Other,NA,NA,Other,Other,NA
Railroads,ICB,Other,NA,NA,Other,Other,NA
Real Estate,BICS,Other,Finance,Real Estate,Other,Real estate,NA
Real Estate Holding & Development,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Real Estate Mgmnt/Servic,BICS,Other,Finance,Real Estate,L68,Real estate,NA
Real Estate Oper/Develop,BICS,Other,Finance,Real Estate,L68,Real estate,NA
Real Estate Services,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Recreational Centers,BICS,Other,Consumer Services,Hospitality Services,R93,Other,NA
Recreational Products,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Recreational Services,ICB,Other,Consumer Services,Hospitality Services,Other,Other,NA
Recreational Vehicles,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,C30,Other,NA
Recycling,BICS,Other,NA,NA,E38,Other,NA
Redevelopment and Land Clearance,BCLASS,Other,NA,NA,Other,Other,NA
Refining,BCLASS,Other,NA,NA,Other,Other,NA
Refining & Marketing,BICS,Other,NA,NA,Other,Other,NA
Region Fnd-Asian Pacific,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-African,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-ASEAN,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-EU,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Euro,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Europe Ex UK,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-European,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-G8 Countries,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Iberian,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Latin Amer,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Middle East,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-NAFTA,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Nordic,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-North Amer,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Oceania,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-OECD,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Region Fund-Tiger,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Regional Agencies,BICS,Other,NA,NA,Other,Other,NA
Regional Authority,BICS,Other,NA,NA,Other,Other,NA
Regional Banks-Non US,BICS,Other,Finance,Banking,K64,Other,NA
Reinsurance,ICB,Other,Finance,Insurance,K65,Other,NA
Reinsurance,BICS,Other,Finance,Insurance,K65,Other,NA
REITs,BCLASS,Other,Finance,Real Estate,Other,Real estate,NA
REITS-Apartments,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Diversified,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Health Care,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Hotels,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Manufactured Homes,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Mortgage,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Office Property,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Regional Malls,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Shopping Centers,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Single Tenant,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Storage,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Warehouse/Industr,BICS,Other,Finance,Real Estate,L68,Real estate,NA
REITS-Whole Loans,BICS,Other,Finance,Real Estate,L68,Real estate,NA
Religiously Responsible,BICS,Other,NA,NA,Other,Other,NA
Remediation Services,BICS,Other,NA,NA,E39,Other,NA
Renewable Energy,BICS,Power,Utilities,Utilities,Other,Power,NA
Renewable Energy Equipment,ICB,Other,NA,NA,Other,Other,NA
Renewable Energy Project Dev,BICS,Other,NA,NA,Other,Other,NA
Rental Auto/Equipment,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,M74,Other,NA
Research&Development,BICS,Other,NA,NA,Q86,Other,NA
Residential Mortgage,BCLASS,Other,Finance,Real Estate,Other,Other,NA
Residential REITs,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Resorts/Theme Parks,BICS,Other,Consumer Services,Hospitality Services,R93,Other,NA
Respiratory Products,BICS,Other,Healthcare,Healthcare Equipment,Other,Other,NA
Restaurants,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Restaurants & Bars,ICB,Other,Consumer Services,Hospitality Services,Other,Other,NA
Retail - Consumer Discretionary,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail - Consumer Staples,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail REITs,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Retail-Apparel/Shoe,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Appliances,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Arts&Crafts,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Auto Parts,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,G45,Other,NA
Retail-Automobile,BICS,Other,Consumer Cyclicals,Consumer Vehicles and Parts,G45,Other,NA
Retail-Bedding,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Bookstore,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Building Products,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,G47,Other,NA
Retail-Catalog Shopping,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail-Computer Equip,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Consumer Electron,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Convenience Store,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail-Cutlery&Cookware,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Discount,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail-Drug Store,BICS,Other,Healthcare,Healthcare Services,Other,Other,NA
Retailers,BCLASS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Retail-Fabric Store,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Floor Coverings,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Gardening Prod,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Hair Salons,BICS,Other,Consumer Cyclicals,Consumer Retail,M74,Other,NA
Retail-Home Furnishings,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Hypermarkets,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail-Jewelry,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Leisure Products,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Mail Order,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Major Dept Store,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Retail-Misc/Diversified,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,G47,Other,NA
Retail-Music Store,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Office Supplies,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Pawn Shops,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Perfume&Cosmetics,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Pet Food&Supplies,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Food logistics,NA
Retail-Petroleum Prod,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Retail-Photo Studio,BICS,Other,Consumer Cyclicals,Consumer Retail,M74,Other,NA
Retail-Propane Distrib,BICS,Other,Business Services,Business Services,D35,Other,NA
Retail-Pubs,BICS,Other,Consumer Services,Hospitality Services,I56,Other,NA
Retail-Regnl Dept Store,BICS,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Retail-Restaurants,BICS,Other,Consumer Services,Hospitality Services,I56,Other,NA
Retail-Science&Nature,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Sporting Goods,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Sunglasses,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Toy Store,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Variety Store,BICS,Other,Consumer Cyclicals,Consumer Retail,Other,Other,NA
Retail-Video Rental,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Vision Serv Cntr,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retail-Vitamins/Nutr Sup,BICS,Other,Consumer Cyclicals,Consumer Retail,G47,Other,NA
Retirement/Aged Care,BICS,Other,Healthcare,Healthcare Services,Q87,Other,NA
Rubber&Vinyl,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C20,Other,NA
Rubber/Plastic Products,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C29,Other,NA
Rubber-Tires,BICS,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",C29,Other,NA
S&L/Thrifts-Central US,BICS,Other,NA,NA,K64,Other,NA
S&L/Thrifts-Eastern US,BICS,Other,NA,NA,K64,Other,NA
S&L/Thrifts-Southern US,BICS,Other,NA,NA,K64,Other,NA
S&L/Thrifts-Western US,BICS,Other,NA,NA,K64,Other,NA
Sanitation,BCLASS,Other,NA,NA,Other,Other,NA
Satellite Telecom,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Schools,BICS,Other,NA,NA,P85,Other,NA
Schools-Day Care,BICS,Other,NA,NA,P85,Other,NA
Seaports and Marine Terminals,BCLASS,Other,NA,NA,Other,Other,NA
Sector Fund-Asset Alloc,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Sector Fund-Debt,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Sector Fund-Energy,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Sector Fund-Real Estate,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Sector Fund-Technology,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Sector Fund-Utility,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Secured Airlines,BCLASS,Aviation,NA,NA,Other,Aviation,NA
Security Services,BICS,Other,NA,NA,N80,Other,NA
Seismic Data Collection,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Semicon Compo-Intg Circu,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Semiconductor Equipment,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Semiconductors,ICB,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Semiconductors,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Senior Housing Independent Living,BCLASS,Other,Healthcare,Healthcare Services,Other,Other,NA
Shipbuilding,BICS,Other,Industrials,Industrial Manufacturing,F43,Other,NA
Silver Mining,BICS,Other,Non-Energy Materials,Mining and Mineral Products,Other,Materials,Other
"Single, Multi-Family Housing",BCLASS,Other,Finance,Real Estate,Other,Other,NA
Single-Family Housing,BCLASS,Other,Finance,Real Estate,Other,Other,NA
Soap&Cleaning Prepar,BICS,Other,Industrials,Industrial Manufacturing,Other,Other,NA
Socially Responsible,BICS,Other,NA,NA,Other,Other,NA
Soft Drinks,ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Software,ICB,Other,Technology,Software and Consulting,Other,Other,NA
Software & Services,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Software Tools,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Solid Waste Resource Recovery,BCLASS,Other,NA,NA,Other,Other,NA
Sovereign,BICS,Other,NA,NA,Other,Other,NA
Sovereign Agency,BICS,Other,NA,NA,Other,Other,NA
Sovereigns,BICS,Other,NA,NA,Other,Other,NA
Special Purpose Banks,BICS,Other,Finance,Banking,K64,Other,NA
Special Purpose Entity,BICS,Other,Finance,Specialty Finance and Services,K66,Other,NA
Specialized Consumer Services,ICB,Other,Business Services,Business Services,Other,Other,NA
Specialty Chemicals,ICB,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",Other,Other,NA
Specialty Finance,ICB,Other,Finance,Specialty Finance and Services,Other,Other,NA
Specialty REITs,ICB,Other,Finance,Real Estate,Other,Real estate,NA
Specialty Retailers,ICB,Other,Consumer Cyclicals,Miscellaneous Retail,Other,Other,NA
Specified Purpose Acquis,BICS,Other,NA,NA,K66,Other,NA
Stadiums and Sports Complexes,BCLASS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Steel Pipe&Tube,BICS,Steel,NA,NA,C25,Steel,NA
Steel-Producers,BICS,Steel,NA,NA,C25,Steel,NA
Steel-Specialty,BICS,Steel,NA,NA,C25,Steel,NA
Stevedoring,BICS,Other,Business Services,Business Services,H50,Other,NA
Storage/Warehousing,BICS,Other,Business Services,Business Services,H52,Other,NA
Stranded Cost Utility,BCLASS,Other,NA,NA,Other,Other,NA
Student Housing,BCLASS,Other,Finance,Real Estate,Other,Other,NA
Student Loan,BCLASS,Other,Finance,Banking,Other,Other,NA
Student Loans,BCLASS,Other,Finance,Banking,Other,Other,NA
Sugar,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Superconductor Prod&Sys,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Supermarkets,BCLASS,Other,Consumer Non-Cyclicals,Food and Staples Retail,Other,Other,NA
Supermarkets & Pharmacies,BICS,Other,Consumer Non-Cyclicals,Food and Staples Retail,Other,Other,NA
Super-Regional Banks-US,BICS,Other,Finance,Banking,K64,Other,NA
Supranational,BCLASS,Other,NA,NA,Other,Other,NA
Supranational Bank,BICS,Other,Finance,Banking,Other,Other,NA
Supranationals,BICS,Other,NA,NA,Other,Other,NA
Tannery,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Taxable First Tier-MMkt,BICS,Other,NA,NA,Other,Other,NA
Taxable Govt/Agency-MMkt,BICS,Other,NA,NA,Other,Other,NA
Taxable Treas 100%-MMkt,BICS,Other,NA,NA,Other,Other,NA
Taxable Treas/Repo-MMkt,BICS,Other,NA,NA,Other,Other,NA
Tea,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,Other,Other,NA
Technology,BCLASS,Other,Technology,NA,Other,Other,NA
Telecom Carriers,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Telecom Eq Fiber Optics,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Telecom Services,BICS,Other,Telecommunications,Telecommunications,J61,Other,NA
Telecommunication Equip,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Telecommunications Equipment,ICB,Other,Telecommunications,Telecommunications,Other,Other,NA
Telephone,BCLASS,Other,Telecommunications,Telecommunications,Other,Other,NA
Telephone-Integrated,BICS,Other,Telecommunications,Telecommunications,J62,Other,NA
Television,BICS,Other,Consumer Services,Media and Publishing Services,J60,Other,NA
Textile-Apparel,BICS,Other,Consumer Cyclicals,Consumer Goods,C14,Other,NA
Textile-Home Furnishings,BICS,Other,Consumer Cyclicals,Consumer Goods,C13,Other,NA
Textile-Products,BICS,Other,Consumer Cyclicals,Consumer Goods,C14,Other,NA
Textiles,BCLASS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Theaters,BICS,Other,Consumer Services,Hospitality Services,R90,Other,NA
Therapeutics,BICS,Other,Healthcare,Healthcare Services,C21,Other,NA
Tires,ICB,Other,Non-Energy Materials,"Chemical, Plastic and Rubber Materials",Other,Other,NA
Tobacco,ICB,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C12,Other,NA
Tobacco,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C12,Other,NA
"Toll Roads, Streets, and Highways",BCLASS,Other,NA,NA,Other,Other,NA
Tools-Hand Held,BICS,Other,Consumer Non-Cyclicals,Household Products,Other,Other,NA
Toys,ICB,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Toys,BICS,Other,Consumer Cyclicals,Consumer Goods,Other,Other,NA
Traffic Management Sys,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Transactional Software,BICS,Other,Technology,Software and Consulting,Other,Other,NA
Transit Services,BICS,Other,Business Services,Business Services,Other,Other,NA
Transport-Air Freight,BICS,Aviation,NA,NA,H51,Aviation,NA
Transportation & Logistics,BICS,Other,Business Services,Business Services,Other,Other,NA
Transportation Services,ICB,Other,Business Services,Business Services,Other,Other,NA
Transport-Equip&Leasng,BICS,Other,Business Services,Business Services,K64,Other,NA
Transport-Marine,BICS,Shipping,NA,NA,H50,Shipping,NA
Transport-Rail,BICS,Other,Business Services,Business Services,Other,Other,NA
Transport-Services,BICS,Other,Business Services,Business Services,H49,Other,NA
Transport-Truck,BICS,Other,Business Services,Business Services,H49,Other,NA
Travel & Lodging,BICS,Other,Consumer Services,Hospitality Services,Other,Other,NA
Travel & Tourism,ICB,Other,Consumer Services,Hospitality Services,Other,Other,NA
Travel Services,BICS,Other,Consumer Services,Hospitality Services,N79,Other,NA
Treasury,BCLASS,Other,NA,NA,Other,Other,NA
Trucking,ICB,Other,Business Services,Business Services,Other,Other,NA
Trucking&Leasing,BICS,Other,Business Services,Business Services,K64,Other,NA
Ultra Sound Imaging Sys,BICS,Other,Technology,Software and Consulting,Other,Other,NA
UMBS Other,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
UMBS Single Family 15yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
UMBS Single Family 20yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
UMBS Single Family 30yr,BICS,Other,Finance,Specialty Finance and Services,L68,Other,NA
Unclassified,BICS,Other,NA,NA,Other,Other,NA
Undefined Equity,BICS,Other,NA,NA,Other,Other,NA
Unknown,BCLASS,Other,NA,NA,Other,Other,NA
Unsecured Airlines,BCLASS,Other,NA,NA,Other,Other,NA
US Municipals,BICS,Other,NA,NA,Other,Other,NA
Utilities,BICS,Other,Utilities,Utilities,Other,Other,NA
Value,BICS,Other,NA,NA,Other,Other,NA
Value-Large Cap,BICS,Other,NA,NA,Other,Other,NA
Value-Mid Cap,BICS,Other,NA,NA,Other,Other,NA
Value-Small Cap,BICS,Other,NA,NA,Other,Other,NA
Various Assets,BICS,Other,NA,NA,Other,Other,NA
Venture Capital,BICS,Other,Finance,Specialty Finance and Services,K64,Other,NA
Veterans,BCLASS,Other,NA,NA,Other,Other,NA
Veterinary Diagnostics,BICS,Other,Healthcare,Healthcare Services,C21,Other,NA
Veterinary Products,BICS,Other,Healthcare,Healthcare Equipment,C21,Other,NA
Virtual Reality Products,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Vitamins&Nutrition Prod,BICS,Other,Consumer Non-Cyclicals,Food and Tobacco Production,C21,Other,NA
Waste & Disposal Services,ICB,Other,NA,NA,Other,Other,NA
Waste & Environment Services & Equipment,BICS,Other,NA,NA,Other,Other,NA
Water,ICB,Other,NA,NA,E36,Other,NA
Water,BICS,Other,NA,NA,E36,Other,NA
Water & Sewer,BCLASS,Other,NA,NA,Other,Other,NA
Water and Sewer,BCLASS,Other,NA,NA,Other,Other,NA
Water Treatment Systems,BICS,Other,NA,NA,E36,Other,NA
Web Hosting/Design,BICS,Other,Technology,Software and Consulting,J62,Other,NA
Web Portals/ISP,BICS,Other,Technology,Software and Consulting,J62,Other,NA
Whole Business,BCLASS,Other,NA,NA,Other,Other,NA
Whsing&Harbor Trans Serv,BICS,Other,NA,NA,H52,Other,NA
Winding Up Agencies,BICS,Other,NA,NA,Other,Other,NA
Winding-up Agency,BICS,Other,NA,NA,Other,Other,NA
Wire&Cable Products,BICS,Other,Technology,Electronic Components and Manufacturing,C27,Other,NA
Wireless,BCLASS,Other,NA,NA,Other,Other,NA
Wireless Equipment,BICS,Other,Technology,Electronic Components and Manufacturing,Other,Other,NA
Wireless Telecommunications Services,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Wireline Telecommunications Services,BICS,Other,Telecommunications,Telecommunications,Other,Other,NA
Wirelines,BCLASS,Other,Telecommunications,Telecommunications,Other,Other,NA
WL Collat CMO IO,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO Mezzanine,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO Other,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO PO,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO Residual,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO Sequential,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO Subordinat,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat CMO TAC,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat PAC,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat PAC IO,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat PAC Support,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat PAC Z,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat Support,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat Support PO,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
WL Collat Support Z,BICS,Other,Finance,Specialty Finance and Services,Other,Other,NA
Wool,BICS,Other,Non-Energy Materials,Manufactured Products,Other,Other,NA
Workers Comp/Injury Serv,BICS,Other,NA,NA,Other,Other,NA
Wound/Burn & Skin Care,BICS,Other,Healthcare,Healthcare Equipment,C21,Other,NA
X24,BCLASS,Other,NA,NA,Other,Other,NA
X28,BCLASS,Other,NA,NA,Other,Other,NA
X29,BCLASS,Other,NA,NA,Other,Other,NA
